"Colony","Wave","Study","Yard","Treatment","Inoculated","Alive","SSMites","AWMites","CCMites","ABees","CBrood","HStores"
"TO133",6,"TO","Fire","LV","No",TRUE,83,NA,11,10.25,3.9,6.4
"TO133",7,"TO","Fire","LV","No",TRUE,NA,44,NA,NA,NA,NA
"TO133",8,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO133",9,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO133",10,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",11,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",12,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",13,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",14,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",15,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",16,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",17,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",18,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",19,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",20,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",21,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",22,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",23,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO133",24,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",1,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO134",2,"TO","Fire","LV","No",TRUE,7,NA,NA,NA,NA,NA
"TO134",3,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO134",4,"TO","Fire","LV","No",TRUE,9,NA,NA,5.5,4,2.15
"TO134",5,"TO","Fire","LV","No",TRUE,23,NA,NA,NA,NA,NA
"TO134",6,"TO","Fire","LV","No",TRUE,31,NA,4,5.25,2.85,8.4
"TO134",7,"TO","Fire","LV","No",TRUE,NA,22,NA,NA,NA,NA
"TO134",8,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO134",9,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO134",10,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",11,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",12,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",13,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",14,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",15,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",16,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",17,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",18,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",19,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",20,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",21,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",22,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",23,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO134",24,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO135",1,"TO","Fire","LV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO135",2,"TO","Fire","LV","Yes",TRUE,2,NA,NA,NA,NA,NA
"TO135",3,"TO","Fire","LV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO135",4,"TO","Fire","LV","Yes",TRUE,13,NA,NA,5.65,3,0.85
"TO135",5,"TO","Fire","LV","Yes",TRUE,25,NA,NA,NA,NA,NA
"TO135",6,"TO","Fire","LV","Yes",TRUE,53,NA,10,9.15,3.4,6.85
"TO135",7,"TO","Fire","LV","Yes",TRUE,NA,20,NA,NA,NA,NA
"TO135",8,"TO","Fire","LV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO135",9,"TO","Fire","LV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO135",10,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",11,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",12,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",13,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",14,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",15,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",16,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",17,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",18,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",19,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",20,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",21,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",22,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",23,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO135",24,"TO","Fire","LV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO136",1,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO136",2,"TO","Fire","LV","No",TRUE,3,NA,NA,NA,NA,NA
"TO136",3,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",4,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",5,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",6,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",7,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",8,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",9,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",10,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",11,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",12,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",13,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",14,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",15,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",16,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",17,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",18,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",19,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",20,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",21,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",22,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",23,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO136",24,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",1,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO137",2,"TO","Fire","LV","No",TRUE,3,NA,NA,NA,NA,NA
"TO137",3,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO137",4,"TO","Fire","LV","No",TRUE,11,NA,NA,6.45,0.9,0.95
"TO137",5,"TO","Fire","LV","No",FALSE,5,NA,NA,NA,NA,NA
"TO137",6,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",7,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",8,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",9,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",10,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",11,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",12,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",13,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",14,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",15,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",16,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",17,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",18,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",19,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",20,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",21,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",22,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",23,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO137",24,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",1,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO138",2,"TO","Fire","LV","No",TRUE,2,NA,NA,NA,NA,NA
"TO138",3,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO138",4,"TO","Fire","LV","No",TRUE,11,NA,NA,5.4,3.2,0.35
"TO138",5,"TO","Fire","LV","No",TRUE,18,NA,NA,NA,NA,NA
"TO138",6,"TO","Fire","LV","No",TRUE,19,NA,2,8,4.5,6.55
"TO138",7,"TO","Fire","LV","No",TRUE,NA,23,NA,NA,NA,NA
"TO138",8,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO138",9,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO138",10,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",11,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",12,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",13,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",14,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",15,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",16,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",17,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",18,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",19,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",20,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",21,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",22,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",23,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO138",24,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",1,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO139",2,"TO","Fire","LV","No",TRUE,2,NA,NA,NA,NA,NA
"TO139",3,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO139",4,"TO","Fire","LV","No",TRUE,7,NA,NA,4.55,1.8,0.25
"TO139",5,"TO","Fire","LV","No",FALSE,0,NA,NA,NA,NA,NA
"TO139",6,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",7,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",8,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",9,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",10,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",11,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",12,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",13,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",14,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",15,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",16,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",17,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",18,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",19,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",20,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",21,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",22,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",23,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO139",24,"TO","Fire","LV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO140",1,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",2,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",3,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",4,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",5,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",6,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",7,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",8,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",9,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",10,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",11,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",12,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",13,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",14,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",15,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",16,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",17,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",18,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",19,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",20,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",21,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",22,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",23,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO140",24,"TO","Fire","LV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO15",1,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO15",2,"TO","Garrett","HV","No",TRUE,2,NA,NA,NA,NA,NA
"TO15",3,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO15",4,"TO","Garrett","HV","No",TRUE,3,NA,NA,9.2,4.4,0.4
"TO15",5,"TO","Garrett","HV","No",TRUE,9,NA,NA,NA,NA,NA
"TO15",6,"TO","Garrett","HV","No",TRUE,24,NA,4,9.8,3.6,5.55
"TO15",7,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO15",8,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO15",9,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO15",10,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",11,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",12,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",13,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",14,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",15,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",16,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",17,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",18,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",19,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",20,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",21,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",22,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",23,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO15",24,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO16",1,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",2,"TO","Garrett","HV","No",TRUE,0,NA,NA,NA,NA,NA
"TO16",3,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",4,"TO","Garrett","HV","No",TRUE,3,NA,NA,4,1.8,1.75
"TO16",5,"TO","Garrett","HV","No",TRUE,1,NA,NA,NA,NA,NA
"TO16",6,"TO","Garrett","HV","No",TRUE,11,NA,5,3.1,1.85,8.25
"TO16",7,"TO","Garrett","HV","No",TRUE,NA,5,NA,NA,NA,NA
"TO16",8,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",9,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",10,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",11,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",12,"TO","Garrett","HV","No",TRUE,NA,NA,3,NA,NA,NA
"TO16",13,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",14,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",15,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",16,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO16",17,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO16",18,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO16",19,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO16",20,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO16",21,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO16",22,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO16",23,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO16",24,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO17",1,"TO","Garrett","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO17",2,"TO","Garrett","HV","Yes",TRUE,4,NA,NA,NA,NA,NA
"TO17",3,"TO","Garrett","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO17",4,"TO","Garrett","HV","Yes",TRUE,31,NA,NA,16.9,7.5,1.05
"TO17",5,"TO","Garrett","HV","Yes",TRUE,123,NA,NA,NA,NA,NA
"TO17",6,"TO","Garrett","HV","Yes",TRUE,510,NA,50,6.7,3.25,7.75
"TO17",7,"TO","Garrett","HV","Yes",TRUE,NA,159,NA,NA,NA,NA
"TO17",8,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",9,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",10,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",11,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",12,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",13,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",14,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",15,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",16,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",17,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",18,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",19,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",20,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",21,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",22,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",23,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO17",24,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",1,"TO","Garrett","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO18",2,"TO","Garrett","HV","Yes",TRUE,1,NA,NA,NA,NA,NA
"TO18",3,"TO","Garrett","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO18",4,"TO","Garrett","HV","Yes",TRUE,18,NA,NA,12.1,5.1,1.8
"TO18",5,"TO","Garrett","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO18",6,"TO","Garrett","HV","Yes",TRUE,431,NA,25,6.25,3.4,4.6
"TO18",7,"TO","Garrett","HV","Yes",TRUE,NA,152,NA,NA,NA,NA
"TO18",8,"TO","Garrett","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO18",9,"TO","Garrett","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO18",10,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",11,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",12,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",13,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",14,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",15,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",16,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",17,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",18,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",19,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",20,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",21,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",22,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",23,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO18",24,"TO","Garrett","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO19",1,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",2,"TO","Garrett","HV","No",TRUE,3,NA,NA,NA,NA,NA
"TO19",3,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",4,"TO","Garrett","HV","No",TRUE,1,NA,NA,7.4,3.7,0.95
"TO19",5,"TO","Garrett","HV","No",TRUE,9,NA,NA,NA,NA,NA
"TO19",6,"TO","Garrett","HV","No",TRUE,15,NA,3,4.05,2.2,6.4
"TO19",7,"TO","Garrett","HV","No",TRUE,NA,10,NA,NA,NA,NA
"TO19",8,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",9,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",10,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",11,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",12,"TO","Garrett","HV","No",TRUE,NA,NA,8,NA,NA,NA
"TO19",13,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",14,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",15,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",16,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO19",17,"TO","Garrett","HV","No",TRUE,119,NA,NA,NA,NA,NA
"TO19",18,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO19",19,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO19",20,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO19",21,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO19",22,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO19",23,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO19",24,"TO","Garrett","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO20",1,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO20",2,"TO","Garrett","HV","No",TRUE,7,NA,NA,NA,NA,NA
"TO20",3,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO20",4,"TO","Garrett","HV","No",TRUE,12,NA,NA,11.2,5.25,1.3
"TO20",5,"TO","Garrett","HV","No",TRUE,27,NA,NA,NA,NA,NA
"TO20",6,"TO","Garrett","HV","No",TRUE,52,NA,3,7.65,3.5,6.05
"TO20",7,"TO","Garrett","HV","No",TRUE,NA,32,NA,NA,NA,NA
"TO20",8,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO20",9,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO20",10,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO20",11,"TO","Garrett","HV","No",TRUE,NA,NA,NA,NA,NA,NA
